5d4b1879a623db1ce05c6639,ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.546,99.706,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
5d4b1879a623db1ce05c663a,ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.646,101.171,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
5d4b1879a623db1ce05c663b,ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.645,101.17,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
5d4b1879a623db1ce05c663c,ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.649,101.174,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
5d4b1879a623db1ce05c663d,ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.644,101.169,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
5d4b1879a623db1ce05c663e,ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.459,99.403,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
5d4b1879a623db1ce05c663f,ต. ด่านสวี อ. สวี จ. ชุมพร,"T. Dan Sawi, A. Sawi, Changwat Chumphon",อ. สวี,T. Sawi,10.291,99.241,จ. ชุมพร,Changwat Chumphon,ต. ด่านสวี,A. Dan Sawi
5d4b1879a623db1ce05c6640,ต. ท่าตูม อ. เมืองมหาสารคาม จ. มหาสารคาม,"T. Tha Tum, A. Mueang Maha Sarakham, Changwat Maha Sarakham",อ. เมืองมหาสารคาม,T. Mueang Maha Sarakham,16.162,103.484,จ. มหาสารคาม,Changwat Maha Sarakham,ต. ท่าตูม,A. Tha Tum
5d4b1879a623db1ce05c6641,ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.708,99.675,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
5d4b1879a623db1ce05c6642,ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.796,99.713,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
5d4b1879a623db1ce05c6643,ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.677,99.659,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
5d4b1879a623db1ce05c6644,ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี,"T. Sattahip, A. Sattahip, Changwat Chonburi",อ. สัตหีบ,T. Sattahip,12.611,100.889,จ. ชลบุรี,Changwat Chonburi,ต. สัตหีบ,A. Sattahip
5d4b1879a623db1ce05c6645,ต. ตะเสะ อ. หาดสำราญ จ. ตรัง,"T. Tase, A. Hat Samran, Changwat Trang",อ. หาดสำราญ,T. Hat Samran,7.033,99.449,จ. ตรัง,Changwat Trang,ต. ตะเสะ,A. Tase
5d4b1879a623db1ce05c6646,ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.477,99.369,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
5d4b1879a623db1ce05c6647,ต. ปากคลอง อ. ปะทิว จ. ชุมพร,Pak Khlong Pathio Changwat Chumphon,อ. ปะทิว,Pathio,10.862,99.486,จ. ชุมพร,Changwat Chumphon,ต. ปากคลอง,Pak Khlong
